Vendor Name , Budget Fiscal Year , Date , Vendor HQ State , Vendor HQ City , Government Area , Department Name , Department , Account , Account Name , Funding Type , Fund Name , Fund , Object Class , Object Code Name , Object Code , Statewide Contract Number , Amount Spent
PATRICIA A HAMBLIN,2010,2009-08-10,MA,BUZZARDS BAY,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1523.68
NEPHROLOGY ASSOCIATES INC,2010,2009-08-03,RI,EAST PROVIDENCE,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,73.71
COLETTE HAAG-RICKERT MD,2010,2009-08-07,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,33.03
MILTON RADIOLOGISTS,2010,2009-08-21,MA,BROCKTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,520.92
"ROSLINDALE PHARMACY LTD, PETER I OKWESILI",2010,2009-09-28,MA,ROSLINDALE,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,817.64
WESTERN MASS MRI SVCS INC,2010,2009-10-02,MA,ANDOVER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,3049.94
BROCKTON FAMILY DENTAL INC,2010,2009-11-06,MA,BROCKTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,969
"NICHOLAS P GRIGORIEFF, CONCORD PROSTHERICS&ORTHOTICS",2010,2009-12-04,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,40
ROSE A BERWALD,2010,2009-12-31,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,89.25
VALLEY DENTISTS OF BELCHERTOWN,2010,2009-12-28,MA,BELCHERTOWN,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1895
ZAVEN E JOUHOURIAN MD,2010,2009-09-18,,,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,25
VERIZON NEW ENGLAND INC,2010,2009-10-29,NY,NEW YORK,Transportation,Highway Dept,DPW,60001700,Transportation Information Technology Costs,Budgetary,Highway Fund,0101,UU,Telecommunications Services - Voice,U02,ITT09,2724.51
"BASS RIVER DAY ACTIVITY, PROGRAM INC",2010,2009-12-29,MA,BEVERLY,Health and Human Services,Department of Developmental Services,DMR,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,MM,Purch.H&Ss For Clit.Med/Hc Rel,MM3,300NS07,10333.39
BAY STATE ENVELOPE INC,2010,2009-11-24,MA,MANSFIELD,Health and Human Services,Department of Children and Families,DSS,48000015,DSS CENTRAL AND REGIONAL ADMINISTRATION,Budgetary,General Fund,0010,EE,Office & Administrative Supplies,E01,OFF28,176.05
TOWN OF BREWSTER,2010,2009-09-30,MA,BREWSTER,Transportation,Registry of Motor Vehicles,RMV,84000025,CIVIL MOTOR VEHICLE INFRACTIONS REVENUE,Trusts,Agency Fund,0600,PP,"State Collected Taxes, Fines, Fees Distrib to Local Gov.",P05,,2957.5
TOWN OF SOUTHBRIDGE,2010,2009-12-07,MA,SOUTHBRIDGE,Education,Elementary and Secondary Education,DOE,70432001,TEACHER & PRINCIPAL TRAINING/RECRUITING,Federal Grants,Federal Grants Fund,0100,PP,Grants To Public Entities,P01,,13182.34
MICHAEL B FIXMAN,2010,2009-09-24,,,Administration and Finance,Department of Revenue,DOR,12010162,Impact on Child Support Incentives (Fed Match) - ARRA,Trusts,Child Support Enforcement Fund,0142,JJ,"Sheriffs, Constables & Process Servers",J41,,101.66
"MERCER HEALTH & BENEFITS LLC, Mercer Health & Benefits LLC",2010,2009-11-04,MA,BOSTON,Administration and Finance,Group Insurance Commission,GIC,11085200,"GROUP INSURANCE PREMIUM AND PLAN COSTS,",Budgetary,General Fund,0010,HH,Financial Services,HH1,GICPDN0703,25871
"JAMAICA PLAIN NEIGHBORHOOD DEVEL CORP, OF JAMAICA PLAIN",2010,2009-09-25,MA,JAMAICA PLAIN,Education,Early Ed and Care,EEC,30004060,Income Eligible Early Education Programs,Budgetary,General Fund,0010,MM,Purchased Human & Social Services For Clients/Non Medical,M03,20001OCCS23,9443.46
"ECONOMIC DEVELOPMENT AND, INDUSTRIAL CORPORATION",2010,2009-09-23,MA,BOSTON,Labor and Workforce Development,Department of Workforce Development,EOL,70031651,WIA Recovery Act Youth Worker Stimulus - ARRA,Federal Grants,Federal Grants Fund,0100,PP,Grants To Non-Public Entities,PP1,LEG EXEMPT,1821.55
DON GUANELLA CENTER INC,2010,2009-12-09,MA,CHELSEA,Health and Human Services,Department of Developmental Services,DMR,59203000,"RESPITE SERVICES PROGRAM FOR ADULTS,",Budgetary,General Fund,0010,MM,Purch.H&Ss For Clit.Med/Hc Rel,MM3,262453176106,6900
"NORTHAMPTON RADIOLOGIC ASSOC, COOLEY DICKINSON HOSP",2010,2009-07-24,MA,LUDLOW,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,194.98
"PHARMACY CORP OF AMERICA, PHARMACY MANAGEMENT SERV",2010,2009-08-17,KY,LOUISVILLE,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,1109.47
NEW ENGLAND EYE INSTITUTE,2010,2009-09-18,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1003.32
TEWKSBURY MEDICAL GROUP PC,2010,2009-09-14,MA,TEWKSBURY,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,798.35
HARSHAD V SANGHVI MD PC,2010,2009-10-02,MA,WARE,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,213.8
"CHILDRENS HOSPITALCORPORATION, MEDICAID UNIT",2010,2009-10-19,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,1341.95
PHARMACARE   PHARMACY LLC,2010,2009-12-21,IL,CHICAGO,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,617.9
JUDITH ANN HYATT,2010,2009-12-09,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,790.5
GALAXY INTERNET SERVICES INC,2010,2009-07-30,MA,NEWTON,Independents,Secretary of the Commonwealth,SEC,05401400,MIDDLESEX NORTHERN DISTRICT REGISTRY OF,Budgetary,General Fund,0010,UU,Telecommunications Services - Voice,U02,,450
WESTERN MASS DOOR & HRDWARECO,2010,2009-11-20,MA,LUDLOW,Health and Human Services,"Soldiers' Home, Holyoke",HLY,41900100,SOLDIERS' HOME IN HOLYOKE,Budgetary,General Fund,0010,NN,Facility Infrastructure Maintenance & Repair Tools & Supplie,N52,2004LOCKS,2441.88
"WEST PUBLISHING CORPORATION, WEST GROUP",2010,2009-11-17,MN,EAGAN,Independents,State Lottery Commission,LOT,06400000,LOTTERY COMMISSION-ADMINISTRATION AND,Budgetary,General Fund,0010,EE,"Subscriptions, Memberships & Licensing Fees",E12,,4872.94
"RADHA AGARWAL MD PC, NATALIE",2010,2009-07-31,MA,NATICK,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,113.72
JOSEPH M HORAN JR DDS,2010,2009-08-17,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1828
JAYEM OPTICIANS INC,2010,2009-09-18,MA,WALTHAM,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,62.18
"CAPE COD HUMAN SERVICES INC, DONALD CHAMBERLAIN",2010,2009-09-28,MA,HYANNIS,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1619.27
ROBERT A LEBOW MD,2010,2009-09-25,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,38.88
GRANITE MEDICAL GROUP,2010,2009-09-25,MA,QUINCY,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,421
DONALD H CZELUSNIAK OD,2010,2009-10-16,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000320,PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,Budgetary,General Fund,0010,RR,Medicaid,R10,,61.73
EATON MEDICAL ASSOCIATES,2010,2009-11-16,MA,METHUEN,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,403.6
ANJAN CHAUDHURY,2010,2009-12-31,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1145.67
"MATHI THEVA DMD PC, MATHI THEVA DMD",2010,2009-12-28,MA,BROCKTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,21716
TOWN OF MILTON,2010,2009-12-22,MA,MILTON,Independents,Office of the Treasurer,TRE,06121020,STATE RETIREMENT BD COMMONWEALTH PENSION,Trusts,Pension Reserves Investment Fund,0550,DD,Retirement Allowances,D01,,2414.94
TOWN OF WATERTOWN,2010,2009-09-30,MA,WATERTOWN,Administration and Finance,Department of Revenue,DOR,70610008,"REIMBURSEMENT OF SCHOOL AID TO CITIES,",Budgetary,General Fund,0010,PP,Cherry Sheet Distributions,P04,,331405
"NEW ENGLAND OFFICE SUPPLY, INC.",2010,2009-09-09,MA,BRAINTREE,Health and Human Services,Exec Office of Health & Human Services,EHS,40000300,ADMINISTRATION OF THE MEDICAID PROGRAM,Budgetary,General Fund,0010,EE,Printing Expenses & Supplies,E02,OFF19,182.7
"CELLO PARTNERSHIP, VERIZON WIRELESS",2010,2009-10-09,NJ,BASKING RIDGE,Energy & Environmental Affairs,Department of Environmental Protection,EQE,20001700,Energy and Environment Information Technology Costs,Budgetary,General Fund,0010,UU,Telecommunications Services - Voice,U02,ITT09,938.28
"KEYSPAN ENERGY DELIVERY MA, ATTENTION  THOMAS  LAIRD",2010,2009-10-09,MA,WALTHAM,Health and Human Services,Department of Developmental Services,DMR,59202010,FOR STATE OPERATED COMMUNITY BASED,Budgetary,General Fund,0010,GG,Natural Gas,G11,,141.74
IOS CAPITAL,2010,2009-10-29,GA,MACON,Administration and Finance,Human Resources Division,HRD,17500101,TRAINING PROGRAM ADMIN-COSTS OF GOODS &,Other,Intragovernmental Services Fund,0015,LL,Printing/Photocopy & Micrographics Equip Rent/Lease,L26,OFF16LEASES,575.51
JANET KENT,2010,2009-07-10,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,.86
PAPER CITY EMERGENCY PHYSICIANS,2010,2009-08-03,MA,HOLYOKE,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,49.8
NORTH ATTLEBOROUGH DENTAL,2010,2009-08-07,MA,N ATTLEBORO,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1614
"BRIGHAM AND WOMANS, PHYSICIAN ORGANIZATION",2010,2009-11-09,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,2272.91
PETER E CERRUTI,2010,2009-10-30,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,196.9
"BERKSHIRE HEMATOLOGY ONCOLOGY PC, ONCOLOGY PC",2010,2009-11-23,MA,PITTSFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,27.25
FORSYTH DENTAL INFIRM FOR CHILDREN,2010,2009-11-16,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,2630
BAY COVE HUMAN SERVICES INC,2010,2009-12-04,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,4171.84
BERKSHIRE MEDICAL GROUP PC,2010,2009-12-14,MA,PITTSFIELD,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,17.79
"WOMENS HEALTH ASSOCIATES OF, WESTERN MASS INC",2010,2009-12-18,MA,WESTFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,452.99
PAUL S SCIOLI,2010,2009-12-31,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,2.6
DAVID CAHAN MD,2010,2009-10-30,,,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,HH,Health and Safety Services,HH4,RFR99-8990004,150
BERKSHIRE EAGLE,2010,2009-12-16,MA,PITTSFIELD,Transportation,Department of Transportation,DOT,61210717,NON-FEDERALLY ASSISTED CONSTRUCTION & ADVERTISEMENT COSTS,Capital,Highway Capital Projects Fund,0210,EE,Advertising Expenses,E13,,63.72
HEALTH RESOURCES CORP,2010,2009-08-10,MA,WOBURN,Health and Human Services,Department of Mental Health,DMH,50110100,ADMINISTRATION AND GENERAL SERVICES,Budgetary,General Fund,0010,HH,Management Consultants,H19,901316 DPH,1655.96
"JMI INVESTMENT SOLUTIONS INC, DRAGONFLY DELI & GOURMET CAFE",2010,2009-11-05,MA,STOUGHTON,Public Safety and Security,EO Public Safety and Security,EPS,80000911,Enhanced 911 Fund,Trusts,Enhanced 911 Fund,0056,JJ,Food Services,J56,GRO21A,221.27
NEWARK INONE,2010,2009-10-29,IL,CHICAGO,Independents,State Lottery Commission,LOT,06400005,KENO IMPLEMENTATION ASSOCIATED COSTS,Budgetary,General Fund,0010,NN,Facility Infrastructure Maintenance & Repair Tools & Supplie,N52,,832.61
CONTACT COLLABORATIONS INC,2010,2009-12-23,MA,NORTHAMPTON,Independents,Massachusetts Cultural Council,ART,06400300,MASSACHUSETTS CULTURAL COUNCIL,Budgetary,General Fund,0010,PP,Grants To Non-Public Entities,PP1,FY10-0168,3040
JOHN M RUSSO,2010,2009-10-22,,,Judiciary,Trial Court,TRC,03300300,ADMINISTRATIVE STAFF,Budgetary,General Fund,0010,JJ,Legal Support Services,JJ1,LEG EXEMPT,27
PJ KEATING COMPANY,2010,2009-11-30,MA,LUNENBURG,Transportation,Highway Dept,DPW,60330417,Non-Federal Roadway Projects,Capital,Highway Capital Projects Fund,0210,NN,Highway Horizontal/Lateral Construction,N21,0053687,0
GEORGE A MARRA,2010,2009-07-10,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,105.97
WINCHESTER EMERGENCY MEDICAL ASSOC,2010,2009-07-31,MA,WINCHESTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1113.03
MOUNTAIN MEDICINE PC,2010,2009-08-14,MA,WILLIAMSTOWN,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,85
ARTHUR N STEINHART DPM,2010,2009-08-28,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,394.44
PALLIMED SOLUTIONS INC,2010,2009-10-13,MA,WOBURN,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,36.67
FAMILY DENTAL CARE INC,2010,2009-10-30,MA,DORCHESTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,3439
MINJUNG YOON  DMD PC,2010,2009-11-02,MA,MARLBOROUGH,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,66
KEVIN J BERRY MD,2010,2009-10-30,,,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,114.14
SULLIVANS HEALTH CARE,2010,2009-11-23,MA,ROSLINDALE,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,896.21
NEXT STEP ORTHOTICS & PROSTH,2010,2009-12-07,MA,NEWTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,9374.47
NASIR A KHAN,2010,2009-12-18,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,42.92
"RADIO ASSOC OF GREATER NEW BED, ST LUKES HOSPITAL",2010,2009-12-21,MA,NEW BEDFORD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1574.89
"M & W PARTNERS INC, BAY ST OBSTETRICS & GYN ASSOC",2010,2009-09-04,MA,TAUNTON,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,20
THOMAS H MILLER JR,2010,2009-11-05,,,Judiciary,Committee for Public Counsel Service,CPC,03211520,INDIGENT PERSONS' FEES AND COURT COSTS,Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,498.3
JULIE A LOWRE,2010,2009-11-12,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,2365.6
"NEW ENGLAND OFFICE SUPPLY, INC.",2010,2009-11-30,MA,BRAINTREE,Energy & Environmental Affairs,Department of Fish and Game,FWE,23000101,"RIVERWAYS PROTECTION, RESTORATION AND",Budgetary,General Fund,0010,EE,Office & Administrative Supplies,E01,OFF28,5.12
"CITY OF BOSTON, CITY HALL",2010,2009-09-30,MA,BOSTON,Administration and Finance,Department of Revenue,DOR,12014650,PAYMENTS TO CITIES AND TOWNS - LOCAL,Trusts,Agency Fund,0600,PP,"State Collected Taxes, Fines, Fees Distrib to Local Gov.",P05,,5758906.94
"NEW ENGLAND OFFICE SUPPLY, INC.",2010,2009-11-17,MA,BRAINTREE,Public Safety and Security,Department of Police,POL,81000000,CONSOLIDATED DEPT OF STATE POLICE,Budgetary,Highway Fund,0101,EE,Printing Expenses & Supplies,E02,OFF16,677.85
BSM EXPRESS COURIER INC,2010,2009-11-24,MA,BRAINTREE,Health and Human Services,Department of Transitional Assistance,WEL,44001000,DEPARTMENT OF PUBLIC WELFARE,Budgetary,General Fund,0010,JJ,Auxiliary Services,JJ2,,1064.25
JOHN R ROTHERY,2010,2009-12-21,,,Judiciary,Trial Court,TRC,03300300,ADMINISTRATIVE STAFF,Budgetary,General Fund,0010,JJ,Guardians Ad Litem,J19,LEG EXEMPT,500
VINFEN CORPORATION,2010,2009-09-10,MA,CAMBRIDGE,Health and Human Services,Department of Developmental Services,DMR,59202025,FOR COMMUNITY BASED DAY & WORK PROGRAMS,Budgetary,General Fund,0010,MM,Purch.H&Ss For Clit.Med/Hc Rel,MM3,EMP_DAY_09,104800
TANZMAN MASELLI & ASSOC P C,2010,2009-08-14,MA,NORTH ADAMS,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,27.83
"BROCKTON HOSPITAL      INC, PATIENT ACCOUNTING",2010,2009-08-17,MA,BROCKTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,8093.63
"NO ADAMS REGIONAL HOSPITAL, BUSINESS OFFICE",2010,2009-09-08,MA,NORTH ADAMS,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,317.71
WOMENS HEALTHCARE ASSOC PC,2010,2009-10-02,MA,EVERETT,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,796.34
SAPERIA ORTHO/SPTS MED INC,2010,2009-09-25,MA,TAUNTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,166.51
MERIDIAN HEALTH ASSOCIATES,2010,2009-11-13,MA,SALEM,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,1648
GASTROINTESTINAL SPECIALISTS,2010,2009-11-20,MA,BROCKTON,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,367.12
"SHIELDS RADIOLOGY ASSOCIATES PC, ASSCOCIATES PC",2010,2009-12-21,MA,BROCKTON,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,51.91
JOEL E ABRAHAM,2010,2009-12-11,,,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,8
S&R CORPORATION,2010,2009-10-14,MA,LOWELL,Transportation,Highway Dept,DPW,60330816,Federally Assisted Construction (FA) - Non Interstate,Capital,Federal Highway Construction Program Capital Projects Fund,0290,NN,Highway Horizontal/Lateral Construction,N21,0055023,266348.61
TRI-COUNTY MEDICAL ASSOCIATES INC,2010,2009-10-23,MA,FRANKLIN,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,40
CITY OF WESTFIELD,2010,2009-08-31,MA,WESTFIELD,Transportation,Highway Dept,DPW,60100001,HIGHWAYS DEPARTMENT PERSONNEL SERVICES,Budgetary,Highway Fund,0101,GG,Electricity,G03,,108.63
"HEALTH IMPERATIVES, INC",2010,2009-11-06,MA,BROCKTON,Health and Human Services,Department of Public Health,DPH,45131130,Domestic Violence and Sexual Assault Services,Budgetary,General Fund,0010,MM,Purchased Human & Social Services For Clients/Non Medical,M03,606512,813.84
UNITED RESTR EQUIP CO INC,2010,2009-11-03,MA,LOWELL,Independents,Middlesex Sheriff's Department,SDM,89100107,FORMER MIDDLESEX COUNTY CORRECTIONAL,Budgetary,General Fund,0010,KK,Programmatic Facility Equipment,K03,,759
INTERNAL SECURITY ASSOC  LLC,2010,2009-11-03,MA,CAMBRIDGE,Health and Human Services,Department of Transitional Assistance,WEL,44001000,DEPARTMENT OF PUBLIC WELFARE,Budgetary,General Fund,0010,JJ,Law Enforcement,J28,FAC51,11942.64
BIGELOW ELECTRIC AL CO INC,2010,2009-11-25,MA,WORCESTER,Independents,Middlesex Sheriff's Department,SDM,89100107,FORMER MIDDLESEX COUNTY CORRECTIONAL,Budgetary,General Fund,0010,NN,Non-Major Facility Infrastructure Maintenance and Repair,N50,,4000
"US FOOD SERVICE, INC",2010,2009-09-11,MD,COLUMBIA,Health and Human Services,Department of Mental Health,DMH,50950015,STATE PSYCHIATRIC HOSPITALS AND,Budgetary,General Fund,0010,FF,Kitchen & Dining Supplies,F03,GR014,719.14
"WEST PUBLISHING CORPORATION, WEST GROUP",2010,2009-09-21,MN,EAGAN,Labor and Workforce Development,Department of Workforce Development,EOL,70026624,UNEMPLOYMENT INSURANCE ADMINISTRATION,Federal Grants,Federal Grants Fund,0100,EE,"Subscriptions, Memberships & Licensing Fees",E12,,363.25
LEWIS G DEMETROULAKOS,2010,2009-09-11,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,4203.65
CHRISTOPHER MCGONIGLE,2010,2009-07-17,MA,BURLINGTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,326
KEVIN J BERRY MD,2010,2009-07-17,,,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,3.28
COMPASS MEDICAL PC,2010,2009-08-03,MA,EAST BRIDGEWATER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,17.27
